Allison,Barker,1971-09-11,allison.barker@yahoo.com,f
Danielle,Medina,1997-07-04,danielle.medina@yahoo.com,f
Erica,Webb,1978-07-26,erica.webb@hotmail.com,f
Kristina,Ramirez,1991-03-28,kristina.ramirez@yahoo.com,f
Veronica,Leach,2001-11-18,veronica.leach@yahoo.com,f
Cynthia,Shelton,1966-08-17,cynthia.shelton@hotmail.com,f
Sharon,Wade,1988-03-27,sharon.wade@hotmail.com,f
Gary,Davis,1963-03-22,gary.davis@yahoo.com,m
Jesus,Marquez,1964-03-14,jesus.marquez@yahoo.com,m
Timothy,Villarreal,1972-09-05,timothy.villarreal@yahoo.com,m
